,BELTON LAKE,LAKE WHITNEY,AQUILLA LAKE,LAKE WACO,PROCTOR LAKE,POSSUM KINGDOM LAKE,LAKE GEORGETOWN,GRANGER LAKE,LAKE LIMESTONE,STILLHOUSE HOLLOW LAKE,SOMERVILLE LAKE,LAKE GRANBURY,SAM RAYBURN RESERVOIR,B A STEINHAGEN LAKE
3/29/1981,31.40330078,34.49001396,40.36065263,34.02556881,4.452138947,1.050866556,20.59716421,12.96733982,27.0016418,29.07499138,14.52542723,11.6162165,17.2437135,15.67697295
3/30/1981,0.001194458,0,0,0,0,2.06E-06,0,0,0,0.092743586,0.585673655,0,7.175269871,4.072705337
3/31/1981,0,0,0,0,0,0,0,0,0,0,0.032612276,0,0,0.139003934
4/1/1981,0,0,0,0,0,0,0,0.12979942,0,0,0.236689502,0,0,0.055749529
4/2/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002829779
4/3/1981,0,0,0,0,0,0.011477447,5.329388975,4.899403815,0.009236125,0.781811735,0.042466266,0,0.31160376,0.536101674
4/4/1981,6.125470602,6.879812822,10.5756657,4.716584007,0.930439305,0.066618865,13.35368484,16.23610459,15.21567609,5.435054285,2.741499546,2.767175968,6.957739408,8.594197656
4/5/1981,0,0.522970162,0,0.16972801,0,3.57E-05,0,0,0.192522706,0,0,0,2.056911191,1.332472755
4/6/1981,0,0,0,0,0,0.017192434,0,0,0,0,0,0,0,0
4/7/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/1981,0,0,0,0,0,0,0,0,0.46898688,0,0.015901322,0,3.25E-05,0.005535618
4/9/1981,0.005616699,0,0,0,0,0.00349732,0,0,0,0.001129125,0,0.136792762,0,0.003191343
4/10/1981,0,0.01386302,0,0,0,0,0.014457962,0.018060589,0,0,0,0.055759523,0,0
4/11/1981,0.130992513,0.083686257,0,0.145264137,0.231599403,0.317165703,0,0,0,0,0,0.151525273,0,0
4/12/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/13/1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/14/1981,0.161574199,0,0,0.004001736,0.800687747,18.9768199,0,0,0,0,0.000567435,0.263594047,0,0.004809633
4/15/1981,0.039212751,1.942925403,0.466065786,0.404831349,0.882847468,4.445674232,0,0,0,0.027551288,0.000567435,2.097779127,0,0
