,Soil Moisture at 0-40_BRAZOS,percent_full_BRAZOS,Soil Moisture at 40-80_BRAZOS,Soil Moisture at 0-80_BRAZOS,Soil Moisture at 0-40_NECHES,percent_full_NECHES,Soil Moisture at 40-80_NECHES,Soil Moisture at 0-80_NECHES
1991-04,0.3100956473716941,94.8,0.336702730616669,0.3233991889941816,0.305881588167524,99.3,0.3242140497881353,0.3150478189778296
1991-05,0.3140473777553521,94.1,0.3352889923764613,0.3246681850659067,0.3119156230142789,99.4,0.337377704531995,0.3246466637731369
1991-06,0.324870829220906,95.7,0.3434826466841937,0.3341767379525499,0.291675129471966,99.5,0.3143000260079047,0.3029875777399354
1991-07,0.2880917562229727,96.7,0.3355689158632516,0.3118303360431121,0.254216597834756,99.4,0.29389884130628,0.274057719570518
1991-08,0.3005369175663902,95.7,0.3326482091993664,0.3165925633828783,0.2608156055052176,97.6,0.288304841580242,0.2745602235427298
1991-09,0.3169755017870573,96.0,0.3357659753898344,0.3263707385884459,0.2807492030764612,99.4,0.3009071516683594,0.2908281773724103
1991-10,0.313689449185863,96.4,0.3389482038865931,0.326318826536228,0.2522529004251559,97.8,0.2811521708386796,0.2667025356319178
1991-11,0.3415717369281394,96.4,0.3587072852060005,0.35013951106707,0.2926203094675021,94.1,0.2948740959421706,0.2937472027048364
1991-12,0.359343653055275,96.7,0.3702153939897772,0.3647795235225261,0.3123863131952136,95.1,0.325377687902657,0.3188820005489353
1992-01,0.3726118391992088,97.1,0.3928525947780306,0.3827322169886197,0.3203528005196115,99.8,0.3409224458043973,0.3306376231620044
1992-02,0.3790021079071235,97.5,0.4012245815989325,0.390113344753028,0.3263056954682531,99.6,0.3490158971222421,0.3376607962952476
1992-03,0.36258201528736,96.9,0.3934653678758609,0.3780236915816105,0.3106624727571398,99.8,0.3392205619900327,0.3249415173735863
1992-04,0.340617226496916,96.7,0.3720339787801932,0.3563256026385545,0.2869287592258149,99.6,0.3131128849363523,0.3000208220810836
1992-05,0.3382064530266883,96.4,0.3601078380458696,0.349157145536279,0.2793920273602871,99.5,0.2953723357394431,0.2873821815498651
1992-06,0.3482459368573912,96.9,0.3714914819616903,0.3598687094095407,0.2590328062348399,99.5,0.2880736136812119,0.2735532099580259
1992-07,0.3097622103251432,97.0,0.3541569958743759,0.3319596030997596,0.2063988481511921,96.0,0.2593574112206048,0.2328781296858984
1992-08,0.2941468003493006,96.4,0.3409302241394136,0.3175385122443571,0.1816205362292964,91.2,0.2389373188697401,0.2102789275495182
1992-09,0.2850111956020316,95.3,0.3329336622861128,0.3089724289440722,0.1909377007775008,86.0,0.2260221420906532,0.208479921434077
1992-10,0.276100502622873,94.5,0.326474832593798,0.3012876676083355,0.1833040285333469,81.4,0.2160732344541374,0.1996886314937421
1992-11,0.3045810639518585,92.5,0.3257019797353536,0.315141521843606,0.2525397771687062,76.4,0.2226010060033227,0.2375703915860144
1992-12,0.3325433341802132,92.4,0.3423541069210316,0.3374487205506223,0.2879068084044339,75.2,0.2700024387961666,0.2789546236003002
1993-01,0.3333687553690381,94.2,0.3495389369806144,0.3414538461748262,0.3090175195254024,83.7,0.321134909482801,0.3150762145041017
1993-02,0.3405166332064158,94.9,0.3540772241468167,0.3472969286766161,0.298884162415177,95.9,0.3195606202876164,0.3092223913513967
1993-03,0.3373112713919081,95.9,0.357689703496436,0.347500487444172,0.3081499911290976,98.5,0.3278606830479174,0.3180053370885075
1993-04,0.3255829651463564,96.1,0.3511054055556085,0.3383441853509825,0.3017869867693663,99.7,0.3266134940896101,0.3142002404294882
1993-05,0.3184463670582306,95.6,0.344968353191385,0.3317073601248078,0.296295113153934,99.5,0.3186514477680315,0.3074732804609827
1993-06,0.3051930752110999,95.4,0.33541200305759,0.320302539134345,0.2848210579044359,99.5,0.3078667149731579,0.2963438864387969
1993-07,0.2735524742372465,95.1,0.3279387707283613,0.3007456224828039,0.2474511995240119,99.7,0.3020249067928825,0.2747380531584472
1993-08,0.2503670041818839,92.9,0.3197472969193368,0.2850571505506103,0.1887304455229632,98.3,0.2645242205658476,0.2266273330444054
1993-09,0.2624788834295832,89.1,0.3157115159891599,0.2890951997093715,0.1709152666621697,91.6,0.2430930461637922,0.207004156412981
1993-10,0.2883780835844365,86.7,0.3183635380132727,0.3033708107988546,0.2068251591817572,85.3,0.2340859194970235,0.2204555393393903
1993-11,0.3018361027445381,90.9,0.3259503537276366,0.3138932282360873,0.2566714141773513,82.9,0.244122567277493,0.2503969907274222
1993-12,0.3042162745350727,90.3,0.325315539858832,0.3147659071969523,0.2736617072566185,82.0,0.261808350046756,0.2677350286516872
1994-01,0.3008642408767986,88.7,0.3240644833677204,0.3124643621222595,0.272987899453068,82.4,0.2721562159284752,0.2725720576907716
1994-02,0.3051518477753307,87.5,0.3239382337195296,0.3145450407474301,0.3006143334073068,84.3,0.3047348827734629,0.3026746080903848
1994-03,0.3039803923445117,88.8,0.3263213383606491,0.3151508653525803,0.2960793807999287,98.0,0.3207718876342642,0.3084256342170964
1994-04,0.2940446711636302,88.5,0.3216370558680036,0.3078408635158169,0.2788923209463092,99.8,0.2989122125440036,0.2889022667451564
1994-05,0.3267229653923632,87.8,0.3334995268502949,0.330111246121329,0.2883289212535179,99.7,0.2950584820332221,0.29169370164337
1994-06,0.30095923053914,95.7,0.3385876549556392,0.3197734427473895,0.2688055521771136,99.7,0.2877213618743147,0.2782634570257142
1994-07,0.2711796877560878,94.9,0.3266257840803339,0.2989027359182108,0.2126980916430405,97.7,0.2613073625795871,0.2370027271113137
1994-08,0.2523535581743185,93.2,0.318651040018908,0.2855022990966132,0.2209409553150062,92.4,0.2459641191510312,0.2334525372330187
1994-09,0.2691535402384229,90.5,0.3160955261435012,0.2926245331909621,0.2335188686593474,88.8,0.2482531333757556,0.2408860010175515
1994-10,0.2869491476688489,89.0,0.3180564031368312,0.30250277540284,0.2784392837521131,84.9,0.2812840952581493,0.2798616895051312
1994-11,0.3158859292925765,92.8,0.3316269737730644,0.3237564515328204,0.2928589697771364,99.7,0.3147600361038672,0.3038095029405018
1994-12,0.3197430221719702,93.7,0.338797749739077,0.3292703859555236,0.3111726353749822,98.6,0.3259916913933389,0.3185821633841605
1995-01,0.3230637246224864,93.3,0.3430939992669584,0.3330788619447224,0.3230686953078685,99.6,0.3444113221211738,0.3337400087145212
1995-02,0.311632134197937,93.1,0.3378689215870582,0.3247505278924976,0.3036395670953647,99.5,0.3315755592243218,0.3176075631598433
1995-03,0.3155719589477722,92.8,0.3367961980770243,0.3261840785123982,0.3087788936693891,99.4,0.33246666646291,0.3206227800661495
1995-04,0.314142063797908,93.1,0.3387968550900735,0.3264694594439908,0.3041810555625775,99.4,0.325884849962687,0.3150329527626322
1995-05,0.3181132683141006,92.5,0.3381225588631797,0.3281179135886402,0.2876106011994589,99.5,0.3152552247503031,0.3014329129748811
1995-06,0.3139721006751247,92.9,0.3374640942010323,0.3257180974380785,0.2578929008169807,99.6,0.2883857528052442,0.2731393268111124
1995-07,0.288851941233843,94.3,0.3280019764360123,0.3084269588349276,0.2200909859523701,97.6,0.2627278695471007,0.2414094277497354
1995-08,0.3100662151352703,93.3,0.3359862409102921,0.3230262280227812,0.2062231082582201,92.7,0.2482807024519831,0.2272519053551016
1995-09,0.309776518896767,94.3,0.3332976477449988,0.3215370833208829,0.1898210434849375,88.5,0.2335317590532892,0.2116764012691133
1995-10,0.3107807845923904,94.8,0.3372983983749136,0.324039591483652,0.2075072231948894,84.2,0.2281412079863101,0.2178242155905997
1995-11,0.3091197780741309,92.9,0.3326849353586812,0.320902356716406,0.2092433093288885,78.6,0.224338847724863,0.2167910785268757
1995-12,0.3089379821647603,91.8,0.3293941915568655,0.3191660868608129,0.2365192801109459,74.7,0.2343226545318596,0.2354209673214028
1996-01,0.3064957024436531,90.7,0.3272400511665891,0.3168678768051211,0.2601217461196711,76.0,0.2571267060294727,0.2586242260745719
1996-02,0.2971733738535028,89.0,0.3234678301053855,0.3103206019794441,0.2449624730137057,74.8,0.254911680616848,0.2499370768152768
