date,water_level,surface_area,reservoir_storage,conservation_storage,percent_full,conservation_capacity,dead_pool_capacity
1966-03-19,,,8230.0,8230.0,5.3,155171.0,0.0
1966-03-20,,,7980.0,7980.0,5.1,155171.0,0.0
1966-03-21,,,5930.0,5930.0,3.8,155171.0,0.0
1966-03-22,,,5080.0,5080.0,3.3,155171.0,0.0
1966-03-23,,,4410.0,4410.0,2.8,155171.0,0.0
1966-03-24,,,3710.0,3710.0,2.4,155171.0,0.0
1966-03-25,,,2910.0,2910.0,1.9,155171.0,0.0
1966-03-26,,,2410.0,2410.0,1.6,155171.0,0.0
1966-03-27,,,2010.0,2010.0,1.3,155171.0,0.0
1966-03-28,,,1710.0,1710.0,1.1,155171.0,0.0
1966-03-29,,,1370.0,1370.0,0.9,155171.0,0.0
1966-03-30,,,1300.0,1300.0,0.8,155171.0,0.0
1966-03-31,,,1150.0,1150.0,0.7,155171.0,0.0
1966-04-01,,,1060.0,1060.0,0.7,155171.0,0.0
1966-04-02,,,934.0,934.0,0.6,155171.0,0.0
1966-04-03,,,805.0,805.0,0.5,155171.0,0.0
1966-04-04,,,778.0,778.0,0.5,155171.0,0.0
1966-04-05,,,750.0,750.0,0.5,155171.0,0.0
1966-04-06,,,640.0,640.0,0.4,155171.0,0.0
1966-04-07,,,558.0,558.0,0.4,155171.0,0.0
1966-04-08,,,530.0,530.0,0.3,155171.0,0.0
1966-04-09,,,512.0,512.0,0.3,155171.0,0.0
1966-04-10,,,512.0,512.0,0.3,155171.0,0.0
1966-04-11,,,512.0,512.0,0.3,155171.0,0.0
1966-04-12,,,512.0,512.0,0.3,155171.0,0.0
1966-04-13,,,493.0,493.0,0.3,155171.0,0.0
1966-04-14,,,493.0,493.0,0.3,155171.0,0.0
1966-04-15,,,493.0,493.0,0.3,155171.0,0.0
1966-04-16,,,474.0,474.0,0.3,155171.0,0.0
1966-04-17,,,474.0,474.0,0.3,155171.0,0.0
1966-04-18,,,474.0,474.0,0.3,155171.0,0.0
1966-04-19,,,585.0,585.0,0.4,155171.0,0.0
1966-04-20,,,558.0,558.0,0.4,155171.0,0.0
1966-04-21,,,530.0,530.0,0.3,155171.0,0.0
1966-04-22,,,558.0,558.0,0.4,155171.0,0.0
1966-04-23,,,640.0,640.0,0.4,155171.0,0.0
1966-04-24,,,695.0,695.0,0.4,155171.0,0.0
1966-04-25,,,750.0,750.0,0.5,155171.0,0.0
1966-04-26,,,1060.0,1060.0,0.7,155171.0,0.0
1966-04-27,,,3580.0,3580.0,2.3,155171.0,0.0
1966-04-28,,,5590.0,5590.0,3.6,155171.0,0.0
1966-04-29,,,7570.0,7570.0,4.9,155171.0,0.0
1966-04-30,,,10670.0,10670.0,6.9,155171.0,0.0
1966-05-01,,,12880.0,12880.0,8.3,155171.0,0.0
1966-05-02,,,14720.0,14720.0,9.5,155171.0,0.0
1966-05-03,,,20930.0,20930.0,13.5,155171.0,0.0
1966-05-04,,,23660.0,23660.0,15.2,155171.0,0.0
1966-05-05,,,26630.0,26630.0,17.2,155171.0,0.0
1966-05-06,,,33500.0,33500.0,21.6,155171.0,0.0
1966-05-07,,,34000.0,34000.0,21.9,155171.0,0.0
1966-05-08,,,35000.0,35000.0,22.6,155171.0,0.0
1966-05-09,,,35500.0,35500.0,22.9,155171.0,0.0
1966-05-10,,,34500.0,34500.0,22.2,155171.0,0.0
1966-05-11,,,32500.0,32500.0,20.9,155171.0,0.0
1966-05-12,,,31580.0,31580.0,20.4,155171.0,0.0
