,sm_initial,sm_difference,prec_rollingsum,sm_final,tmean_rollingavg
2020-10-16,0.3444336235,-0.004546217000000019,0.004021047237518426,0.3398874065,70.54520422548288
2020-10-13,0.34556767925,-0.004790928249999993,0.004033091840915966,0.340776751,69.5703310039142
1995-10-29,0.337867990125,-0.0032680851249999865,0.004039949811893979,0.33459990500000003,63.963466022113415
1995-10-28,0.338110853875,-0.0032854258750000254,0.004039949811893979,0.334825428,64.1218691204687
1995-10-27,0.338348189625,-0.0032853677500000456,0.004039949811893979,0.33506282187499997,64.03808742386595
1986-01-05,0.336356076125,-0.0027260983749999856,0.004070780589211785,0.33362997775000003,45.76535129333918
1986-01-06,0.33619881625000003,-0.0027870628750000237,0.004070780589211785,0.333411753375,44.961186591422496
1986-01-07,0.336029258,-0.0028381729999999994,0.004070780589211785,0.333191085,44.103022402612346
1986-01-03,0.336651824625,-0.0025907565000000132,0.0040791510548746305,0.33406106812499997,45.03303356554375
2016-12-22,0.3623810085,-0.002825283625000008,0.00408143448796893,0.359555724875,40.42410677762421
1986-01-04,0.33651057125,-0.0026634888750000085,0.004096736527742863,0.333847082375,45.49268272816107
2008-10-02,0.31920561675000003,-0.0009541787500000343,0.004098327988707779,0.318251438,70.87671481250031
2008-09-30,0.318915526,-0.0004327992500000044,0.004098327988707779,0.31848272675,70.06904338333605
2008-10-01,0.31910065525,-0.0007338093750000052,0.004098327988707779,0.31836684587499997,70.58662079796645
1989-12-26,0.31999819225,-0.0013996232499999817,0.004218162019885808,0.318598569,25.309497067976775
2000-09-09,0.303394841,-0.0019216298749999972,0.004221121410493487,0.30147321112500003,87.54745154030367
1989-12-25,0.32011422275,-0.0014290561249999945,0.004314303263940328,0.318685166625,26.62109310188805
2010-12-17,0.33111929675,-0.0019398562500000383,0.004324528067290645,0.3291794405,47.64580581967879
2010-12-15,0.331438484125,-0.0020142183749999876,0.004324528067290645,0.32942426575,45.718958486854625
2010-12-16,0.331281157375,-0.001983047125000026,0.004324528067290645,0.32929811025,46.76551780139949
2017-02-06,0.360971762875,-0.003984573499999977,0.0043805070819322115,0.356987189375,47.963397048561866
1989-12-23,0.320344444,-0.0014667717499999844,0.0043821451171365605,0.31887767225,31.49967046112389
1989-12-24,0.320230208,-0.001450602000000023,0.0043821451171365605,0.318779606,29.239152413103433
2010-12-18,0.330952632125,-0.001891037999999956,0.004407561673110912,0.329061594125,47.043325267579526
2006-11-25,0.32318816125,-0.0010248278750000228,0.004420477042296235,0.32216333337499997,53.204184135003175
2008-09-29,0.318626745375,-3.249037500002716e-05,0.004455670154854527,0.318594255,69.97499162563338
2006-11-23,0.323040793,-0.000661666499999991,0.004463941781889594,0.3223791265,54.56084535389833
2006-11-24,0.323137172,-0.000860002624999967,0.004463941781889594,0.322277169375,53.910083829558864
2006-11-22,0.32288847575,-0.00040275762500002754,0.004465056425013139,0.322485718125,55.062301075508856
2000-09-08,0.30354380400000003,-0.0019485783750000096,0.004494717345170125,0.301595225625,87.87897845412446
2000-09-07,0.3036938185,-0.0019810550000000093,0.004494717345170125,0.3017127635,87.96247182039208
2023-01-18,0.326808982125,-0.0018406277499999901,0.004580662003784518,0.324968354375,53.039334068767054
